StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q24,Q1_10,Q2_1,Q3_1,Q4_1,Q5_1,Q21,Q44_10,Q45_1,Q46_1,Q47_1,Q48_1,Q23,Q50_10,Q51_1,Q52_1,Q53_1,Q54_1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10
2025-12-03 15:30:36,2025-12-03 18:01:29,IP Address,128.2.149.112,100,9053,True,2025-12-03 18:01:30,R_1us1fZ0hWf7d2dX,,,,,40.4442,-79.9557,anonymous,EN,1,P2,12,10,5,10,13,Easier,12,11,9,9,8,Harder,13,13,9,10,9,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
2025-12-04 10:52:01,2025-12-04 12:46:13,IP Address,128.2.149.112,100,6852,True,2025-12-04 12:46:13,R_5LCHwgtvKNgsKdj,,,,,40.4442,-79.9557,anonymous,EN,1,P3,8,,17,2,6,Harder,16,14,,10,8,Easier,12,1,17,9,1,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree
2025-12-12 13:09:59,2025-12-12 15:36:36,IP Address,128.2.149.112,100,8797,True,2025-12-12 15:36:37,R_63ZNoeCOZseGsjT,,,,,40.4521,-79.9201,anonymous,EN,1,P4,18,2,12,12,4,Easier,4,2,20,2,,Harder,16,20,4,16,16,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree
2025-12-12 15:45:36,2025-12-12 18:01:14,IP Address,128.2.149.112,100,8137,True,2025-12-12 18:01:15,R_147ZvBfoZJ5GQG7,,,,,40.4521,-79.9201,anonymous,EN,1,P5,7,9,15,7,17,Harder,15,16,12,17,19,Easier,18,6,16,16,5,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat agree,Strongly agree
2025-12-13 08:26:09,2025-12-13 10:54:43,IP Address,128.2.149.112,100,8914,True,2025-12-13 10:54:44,R_3IgEGNUqGOQvHQp,,,,,40.4521,-79.9201,anonymous,EN,1,P6,4,4,12,7,1,Harder,16,14,,18,6,Easier,7,4,14,6,1,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
2025-12-13 10:57:11,2025-12-13 12:44:06,IP Address,128.2.149.112,100,6414,True,2025-12-13 12:44:06,R_6PXxQJtXb07icFi,,,,,40.4521,-79.9201,anonymous,EN,0.699999988079071,P7,16,15,6,14,10,Easier,14,10,4,14,6,Easier,8,2,14,8,1,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree
2025-12-14 13:57:54,2025-12-14 16:21:51,IP Address,128.2.149.112,100,8637,True,2025-12-14 16:21:52,R_369DBG0TXc3A47O,,,,,40.4521,-79.9201,anonymous,EN,0.699999988079071,P8,16,16,4,14,10,Easier,14,10,16,16,4,Easier,10,10,18,6,3,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree
2025-12-17 08:59:15,2025-12-17 11:21:54,IP Address,128.2.149.112,100,8558,True,2025-12-17 11:21:55,R_1Lte6qqVL2UddR5,,,,,40.4521,-79.9201,anonymous,EN,1,P9,17,15,1,17,5,Easier,15,4,16,15,2,Easier,10,7,20,8,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree
2025-12-17 15:31:05,2025-12-17 17:54:33,IP Address,128.2.149.112,100,8608,True,2025-12-17 17:54:33,R_7nuxe68XvPTp28Y,,,,,40.4521,-79.9201,anonymous,EN,1,P10,10,12,6,10,4,Harder,12,13,6,10,12,Easier,6,3,18,5,2,Somewhat disagree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree
2025-12-18 13:17:35,2025-12-18 15:47:16,IP Address,128.2.149.112,100,8981,True,2025-12-18 15:47:17,R_6f9N6drdTMY9mqu,,,,,40.4442,-79.9557,anonymous,EN,0.8999999761581421,P11,4,6,18,2,1,Harder,10,13,10,11,4,Harder,13,7,5,15,4,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree
2026-01-13 15:09:31,2026-01-13 17:54:35,IP Address,128.2.149.112,100,9904,True,2026-01-13 17:54:35,R_6Ft6BBzCcx3v5jL,,,,,40.4442,-79.9557,anonymous,EN,1,P12,5,6,15,5,10,Easier,10,,17,11,,Harder,14,16,10,18,10,Somewhat agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Strongly agree
2026-01-16 14:47:41,2026-01-16 17:02:04,IP Address,128.2.149.112,100,8062,True,2026-01-16 17:02:05,R_1Ff20ZSx44ef4pb,,,,,40.4442,-79.9557,anonymous,EN,1,P13,12,4,16,8,8,Easier,6,4,12,6,4,Easier,8,8,12,8,4,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
2026-01-17 13:25:40,2026-01-17 15:09:12,IP Address,128.2.149.112,100,6211,True,2026-01-17 15:09:13,R_1qjpHoJKXeS3eW5,,,,,40.4442,-79.9557,anonymous,EN,1,P14,7,6,17,7,0,Harder,10,5,16,9,1,Harder,16,4,3,13,11,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Strongly agree
2026-01-18 11:04:37,2026-01-18 13:24:54,IP Address,128.2.149.112,100,8417,True,2026-01-18 13:24:55,R_7P7dYFHYh4cOm3B,,,,,40.4442,-79.9557,anonymous,EN,1,P15,15,14,2,13,17,Easier,14,12,12,16,12,Harder,10,17,6,15,6,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
2026-01-19 11:02:59,2026-01-19 13:05:35,IP Address,128.2.149.112,100,7356,True,2026-01-19 13:05:35,R_51M43CrzcQwaivn,,,,,40.4442,-79.9557,anonymous,EN,1,P16,2,2,16,2,4,Harder,10,,16,5,2,Harder,5,1,3,3,15,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
2026-01-24 13:05:25,2026-01-24 15:02:24,IP Address,128.2.149.112,100,7018,True,2026-01-24 15:02:24,R_6fnMaXhSa5Ba2vD,,,,,40.4442,-79.9557,anonymous,EN,1,P17,12,2,8,12,2,Easier,12,7,4,10,2,Easier,7,0,20,7,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree
2026-01-28 08:46:29,2026-01-28 11:30:09,IP Address,128.2.149.112,100,9820,True,2026-01-28 11:30:10,R_3MnBiStizg8qRfI,,,,,40.4442,-79.9557,anonymous,EN,1,P18,12,8,14,10,4,Harder,15,12,17,12,6,Harder,8,10,14,12,4,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
2026-01-29 08:49:12,2026-01-29 11:01:10,IP Address,128.2.149.112,100,7917,True,2026-01-29 11:01:10,R_7ZfS5EV4nj0pQK5,,,,,40.4442,-79.9557,anonymous,EN,1,P19,16,4,4,14,3,Easier,6,3,14,2,0,Harder,15,4,13,16,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
2026-01-29 11:06:48,2026-01-29 13:58:05,IP Address,128.2.149.112,100,10276,True,2026-01-29 13:58:06,R_6PvLqiNmuZgSf8G,,,,,40.4442,-79.9557,anonymous,EN,1,P20,16,4,6,10,,The same difficulty,10,4,6,12,,Easier,4,,18,6,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat agree
2026-01-30 12:51:27,2026-01-30 15:36:37,IP Address,128.2.149.112,100,9910,True,2026-01-30 15:36:38,R_77yuVqbnIddkHMG,,,,,40.4442,-79.9557,anonymous,EN,1,P21,10,5,18,5,2,Harder,14,18,4,10,5,Easier,5,2,12,2,2,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly agree,Strongly agree,Somewhat agree
2026-01-30 15:48:26,2026-01-30 17:30:56,IP Address,128.2.149.112,100,6149,True,2026-01-30 17:30:56,R_5OW48Pt15qSFHSV,,,,,40.4442,-79.9557,anonymous,EN,1,P22,16,3,18,13,11,Easier,2,0,18,1,,The same difficulty,16,4,,10,12,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly Disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree
2026-01-31 11:08:06,2026-01-31 13:23:34,IP Address,128.2.149.112,100,8128,True,2026-01-31 13:23:35,R_7Axeq3e1nj0HHyx,,,,,40.4442,-79.9557,anonymous,EN,0.8999999761581421,P23,8,6,20,3,3,The same difficulty,10,9,16,8,6,Harder,11,10,6,10,9,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Strongly agree
2026-01-31 13:34:20,2026-01-31 15:23:13,IP Address,128.2.149.112,100,6532,True,2026-01-31 15:23:13,R_1NzjyTJkCnSwaxd,,,,,40.4442,-79.9557,anonymous,EN,0.8999999761581421,P24,16,15,2,11,18,Easier,6,8,13,6,4,Harder,14,17,4,14,14,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
2026-02-01 11:01:03,2026-02-01 13:04:03,IP Address,128.2.149.112,100,7379,True,2026-02-01 13:04:04,R_6FwSFzQxLH5H1Ve,,,,,40.4442,-79.9557,anonymous,EN,1,P25,16,12,11,12,3,The same difficulty,13,15,10,13,9,Easier,4,4,16,4,2,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree
2026-02-01 13:20:10,2026-02-01 15:37:18,IP Address,128.2.149.112,100,8228,True,2026-02-01 15:37:18,R_3PKwT2q93iZRz7H,,,,,40.4442,-79.9557,anonymous,EN,0.8999999761581421,P26,14,10,1,10,7,The same difficulty,10,6,2,8,6,Harder,10,6,1,9,8,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
2026-02-02 10:09:53,2026-02-02 13:01:11,IP Address,128.2.149.112,100,10277,True,2026-02-02 13:01:11,R_7PjyX3Gzy45lsp9,,,,,40.4442,-79.9557,anonymous,EN,1,P27,16,4,7,7,6,Harder,17,14,4,16,15,The same difficulty,16,14,8,8,12,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
2026-02-04 14:35:19,2026-02-04 16:37:44,IP Address,128.2.149.112,100,7345,True,2026-02-04 16:37:44,R_7KJgfjceiibFboA,,,,,40.4442,-79.9557,anonymous,EN,1,P28,9,1,7,4,2,Easier,6,2,11,5,1,Harder,10,10,1,11,6,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
2026-02-06 13:06:15,2026-02-06 16:13:06,IP Address,128.2.149.112,100,11210,True,2026-02-06 16:13:06,R_7Jwurp1AcLF4VvZ,,,,,40.4442,-79.9557,anonymous,EN,1,P29,18,4,6,16,6,The same difficulty,16,6,3,16,3,Easier,13,5,8,8,5,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
2026-02-07 08:48:51,2026-02-07 10:21:52,IP Address,128.2.149.112,100,5581,True,2026-02-07 10:21:52,R_31aJdP04tliaRGe,,,,,40.4442,-79.9557,anonymous,EN,1,P30,5,1,20,4,0,Harder,16,18,6,16,10,Easier,7,5,19,6,4,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
